ano,sigla_uf,id_municipio,taxa_motorizacao,nome_municipio,populacao
2010,RN,2408102,330.018824518905,Natal,803739.0
2010,TO,1721000,430.561638316136,Palmas,228332.0
2010,RS,4314902,466.904979667946,Porto Alegre,1409351.0
2010,RO,1100205,348.367780793276,Porto Velho,428527.0
2010,PE,2611606,301.085254379256,Recife,1537704.0
2010,AC,1200401,302.596730131711,Rio Branco,336038.0
2010,RJ,3304557,314.105998215949,Rio De Janeiro,6320446.0
2010,BA,2927408,229.106432216996,Salvador,2675656.0
2010,MA,2111300,229.980775237797,São Luís,1014837.0
2010,SP,3550308,541.654896257636,São Paulo,11253503.0
2010,PI,2211001,326.142490451101,Teresina,814230.0
2010,ES,3205309,462.240810735782,Vitória,327801.0
2011,SE,2800308,361.082401740622,Aracaju,579563.0
2011,PA,1501402,214.126254586122,Belém,1402056.0
2011,MG,3106200,572.678012054632,Belo Horizonte,2385640.0
2011,RR,1400100,407.348808733546,Boa Vista,290741.0
2011,DF,5300108,488.248070783223,Brasília,2609998.0
2011,MS,5002704,492.361714633056,Campo Grande,796252.0
2011,MT,5103403,487.314353098519,Cuiabá,556299.0
2011,PR,4106902,689.969623811305,Curitiba,1764541.0
2011,SC,4205407,618.111949974023,Florianópolis,427298.0
2011,CE,2304400,296.821555776917,Fortaleza,2476589.0
2011,GO,5208707,642.066748195195,Goiânia,1318149.0
2011,PB,2507507,336.049452093285,João Pessoa,733155.0
2011,AP,1600303,247.853315414608,Macapá,407023.0
2011,AL,2704302,223.780072080746,Maceió,943110.0
2011,AM,1302603,249.217566031424,Manaus,1832424.0
2011,RN,2408102,351.550358913639,Natal,810780.0
2011,TO,1721000,464.420032722096,Palmas,235316.0
2011,RS,4314902,487.310115250649,Porto Alegre,1413094.0
2011,RO,1100205,400.459456730284,Porto Velho,435732.0
2011,PE,2611606,325.450884439605,Recife,1546516.0
2011,AC,1200401,329.680570730767,Rio Branco,342299.0
2011,RJ,3304557,331.305364470357,Rio De Janeiro,6355949.0
2011,BA,2927408,243.663788862881,Salvador,2693606.0
2011,MA,2111300,255.574837774678,São Luís,1027430.0
2011,SP,3550308,559.034526675108,São Paulo,11316119.0
2011,PI,2211001,362.185555527182,Teresina,822364.0
2011,ES,3205309,482.479441859339,Vitória,330526.0
2012,SE,2800308,382.764364872614,Aracaju,587701.0
2012,PA,1501402,231.129513694405,Belém,1410430.0
2012,MG,3106200,603.01780001127,Belo Horizonte,2395785.0
2012,RR,1400100,432.615276856401,Boa Vista,296959.0
2012,DF,5300108,514.031924099841,Brasília,2648532.0
2012,MS,5002704,520.848724293733,Campo Grande,805397.0
2012,MT,5103403,521.075875288823,Cuiabá,561329.0
2012,PR,4106902,716.981068359785,Curitiba,1776761.0
2012,SC,4205407,642.513817129084,Florianópolis,433158.0
2012,CE,2304400,317.881332408605,Fortaleza,2500194.0
2012,GO,5208707,678.401100042211,Goiânia,1333767.0
2012,PB,2507507,360.266566820835,João Pessoa,742478.0
2012,AP,1600303,260.543756046146,Macapá,415554.0
2012,AL,2704302,241.494326054418,Maceió,953393.0
2012,AM,1302603,266.141307675534,Manaus,1861838.0
2012,RN,2408102,371.938257561859,Natal,817590.0
2012,TO,1721000,495.716115173297,Palmas,242070.0
2012,RS,4314902,509.238279568071,Porto Alegre,1416714.0
2012,RO,1100205,435.625851308219,Porto Velho,442701.0
2012,PE,2611606,347.024737000165,Recife,1555039.0
2012,AC,1200401,352.827870499549,Rio Branco,348354.0
2012,RJ,3304557,349.769885247774,Rio De Janeiro,6390290.0
2012,BA,2927408,259.667026685671,Salvador,2710968.0
2012,MA,2111300,276.631621473437,São Luís,1039610.0
2012,SP,3550308,571.473588308018,São Paulo,11376685.0
2012,PI,2211001,393.609730303976,Teresina,830231.0
2012,ES,3205309,501.966010529412,Vitória,333162.0
2013,SE,2800308,389.197773427902,Aracaju,614577.0
2013,PA,1501402,245.823404085216,Belém,1425922.0
2013,MG,3106200,612.566731137298,Belo Horizonte,2479165.0
2013,RR,1400100,449.041411539308,Boa Vista,308996.0
2013,DF,5300108,518.706799614734,Brasília,2789761.0
